date,index_value,canada_house_price_estimated
1970-03-31,6.617,19552.0
1970-06-30,6.617,19552.0
1970-09-30,6.6716,19713.0
1970-12-31,6.8626,20278.0
1971-03-31,6.9172,20439.0
1971-06-30,6.999,20681.0
1971-09-30,6.9717,20600.0
1971-12-31,7.3265,21649.0
1972-03-31,7.4856,22119.0
1972-06-30,7.4856,22119.0
1972-09-30,7.5948,22441.0
1972-12-31,7.9495,23489.0
1973-03-31,8.3588,24699.0
1973-06-30,8.7954,25989.0
1973-09-30,9.4503,27924.0
1973-12-31,10.3462,30571.0
1974-03-31,11.4377,33796.0
1974-06-30,11.9516,35315.0
1974-09-30,11.8424,34992.0
1974-12-31,11.8697,35073.0
1975-03-31,12.4973,36927.0
1975-06-30,12.9066,38137.0
1975-09-30,13.3159,39346.0
1975-12-31,13.8616,40959.0
1976-03-31,14.4574,42719.0
1976-06-30,14.6211,43203.0
1976-09-30,14.6484,43283.0
1976-12-31,15.1941,44896.0
1977-03-31,15.3306,45299.0
1977-06-30,15.3851,45460.0
1977-09-30,15.3306,45299.0
1977-12-31,15.7671,46589.0
1978-03-31,15.7126,46428.0
1978-06-30,16.1719,47785.0
1978-09-30,16.1446,47704.0
1978-12-31,16.9086,49962.0
1979-03-31,17.4816,51655.0
1979-06-30,17.8637,52784.0
1979-09-30,17.7818,52542.0
1979-12-31,18.5686,54867.0
1980-03-31,18.8414,55673.0
1980-06-30,19.6055,57931.0
1980-09-30,20.4104,60309.0
1980-12-31,21.702,64126.0
1981-03-31,22.5297,66571.0
1981-06-30,22.7025,67082.0
1981-09-30,23.2801,68789.0
1981-12-31,23.612,69769.0
1982-03-31,22.6525,66934.0
1982-06-30,21.702,64126.0
1982-09-30,21.2927,62916.0
1982-12-31,21.752,64273.0
1983-03-31,23.2391,68667.0
1983-06-30,23.2255,68627.0
1983-09-30,22.9299,67754.0
1983-12-31,23.0117,67996.0
1984-03-31,22.989,67928.0
1984-06-30,23.1209,68318.0
1984-09-30,22.6934,67055.0
1984-12-31,22.9754,67888.0
1985-03-31,23.4574,69312.0
1985-06-30,24.0032,70925.0
1985-09-30,24.1214,71274.0
1985-12-31,25.1446,74298.0
1986-03-31,26.609,78625.0
1986-06-30,27.9506,82589.0
1986-09-30,28.4281,84000.0
1986-12-31,30.3882,89792.0
1987-03-31,32.9486,97357.0
1987-06-30,32.553,96188.0
1987-09-30,32.553,96188.0
1987-12-31,34.3357,101456.0
1988-03-31,37.5146,110849.0
1988-06-30,38.315,113214.0
1988-09-30,38.697,114343.0
1988-12-31,41.8441,123642.0
1989-03-31,46.0462,136058.0
1989-06-30,42.076,124327.0
1989-09-30,43.0674,127257.0
1989-12-31,45.5323,134540.0
1990-03-31,44.7183,132135.0
1990-06-30,41.7258,123292.0
1990-09-30,41.9487,123951.0
1990-12-31,42.2852,124945.0
1991-03-31,44.3272,130979.0
1991-06-30,45.9007,135628.0
1991-09-30,43.3176,127996.0
1991-12-31,43.8406,129541.0
1992-03-31,44.5682,131691.0
1992-06-30,44.9138,132712.0
1992-09-30,45.023,133035.0
1992-12-31,45.9962,135911.0
1993-03-31,46.3919,137080.0
1993-06-30,46.3919,137080.0
1993-09-30,45.3686,134056.0
1993-12-31,45.928,135709.0
1994-03-31,47.9927,141810.0
1994-06-30,47.5925,140627.0
1994-09-30,46.8421,138410.0
1994-12-31,47.4015,140063.0
1995-03-31,46.1235,136287.0
1995-06-30,44.9502,132820.0
1995-09-30,45.3823,134097.0
1995-12-31,45.455,134312.0
1996-03-31,44.9047,132685.0
1996-06-30,45.8689,135535.0
1996-09-30,45.2367,133666.0
1996-12-31,45.4959,134432.0
1997-03-31,46.0326,136018.0
1997-06-30,47.1923,139445.0
1997-09-30,46.3691,137013.0
1997-12-31,46.31,136838.0
1998-03-31,45.878,135561.0
1998-06-30,46.2736,136730.0
1998-09-30,45.355,134016.0
1998-12-31,46.0007,135924.0
1999-03-31,46.2327,136609.0
1999-06-30,48.0427,141958.0
1999-09-30,47.6243,140721.0
1999-12-31,48.3156,142764.0
2000-03-31,48.552,143463.0
2000-06-30,49.498,146258.0
2000-09-30,49.3934,145949.0
2000-12-31,49.9118,147481.0
2001-03-31,49.7754,147078.0
2001-06-30,51.9129,153393.0
2001-09-30,52.0584,153823.0
2001-12-31,52.7406,155839.0
2002-03-31,55.0554,162679.0
2002-06-30,57.2201,169075.0
2002-09-30,56.738,167651.0
2002-12-31,58.539,172972.0
2003-03-31,59.7987,176695.0
2003-06-30,61.7679,182513.0
2003-09-30,63.0776,186383.0
2003-12-31,64.9286,191853.0
2004-03-31,66.0292,195105.0
2004-06-30,69.0807,204121.0
2004-09-30,67.4572,199324.0
2004-12-31,70.0448,206970.0
2005-03-31,72.5968,214511.0
2005-06-30,74.462,220022.0
2005-09-30,75.7532,223837.0
2005-12-31,76.7575,226805.0
2006-03-31,79.627,235284.0
2006-06-30,83.429,246518.0
2006-09-30,85.5811,252877.0
2006-12-31,86.0832,254361.0
2007-03-31,88.7374,262203.0
2007-06-30,92.6112,273650.0
2007-09-30,94.5481,279373.0
2007-12-31,94.835,280221.0
2008-03-31,96.2697,284460.0
2008-06-30,96.9871,286580.0
2008-09-30,95.0502,280857.0
2008-12-31,91.3199,269834.0
2009-03-31,88.4505,261356.0
2009-06-30,90.4591,267291.0
2009-09-30,93.6155,276617.0
2009-12-31,96.2697,284460.0
2010-03-31,99.3544,293575.0
2010-06-30,101.076,298662.0
2010-09-30,100.0,295482.0
2010-12-31,99.5696,294211.0
2011-03-31,102.2956,302265.0
2011-06-30,105.7389,312440.0
2011-09-30,107.1736,316679.0
2011-12-31,107.3888,317315.0
2012-03-31,109.8278,324522.0
2012-06-30,111.9799,330881.0
2012-09-30,110.9039,327701.0
2012-12-31,109.4692,323462.0
2013-03-31,110.7604,327277.0
2013-06-30,112.9842,333848.0
2013-09-30,113.6298,335756.0
2013-12-31,113.9885,336816.0
2014-03-31,116.4275,344023.0
2014-06-30,119.2253,352290.0
2014-09-30,119.8709,354197.0
2014-12-31,120.3013,355469.0
2015-03-31,123.6011,365219.0
2015-06-30,127.8336,377726.0
2015-09-30,130.2009,384721.0
2015-12-31,131.7073,389172.0
2016-03-31,138.6657,409733.0
2016-06-30,147.4175,435593.0
2016-09-30,151.7217,448311.0
2016-12-31,152.7977,451490.0
2017-03-31,163.056,481802.0
2017-06-30,172.2855,509073.0
2017-09-30,174.5075,515639.0
2017-12-31,173.9947,514124.0
2018-03-31,175.1911,517659.0
2018-06-30,177.4131,524224.0
2018-09-30,177.7549,525234.0
2018-12-31,177.0712,523214.0
2019-03-31,176.2167,520689.0
2019-06-30,177.7549,525234.0
2019-09-30,178.0968,526245.0
2019-12-31,179.9769,531800.0
2020-03-31,183.7371,542911.0
2020-06-30,187.8391,555031.0
2020-09-30,190.4029,562607.0
2020-12-31,195.0177,576243.0
2021-03-31,199.8034,590384.0
2021-06-30,213.135,629776.0
2021-09-30,217.7498,643412.0
2021-12-31,222.1936,656543.0
2022-03-31,250.6746,740699.0
2022-06-30,244.1727,721487.0
2022-09-30,222.0523,656125.0
2022-12-31,211.8048,625846.0
2023-03-31,211.9462,626264.0
2023-06-30,222.6177,657796.0
2023-09-30,221.3456,654037.0
2023-12-31,212.7942,628769.0
2024-03-31,213.501,630858.0
2024-06-30,216.3985,639419.0
2024-09-30,212.4409,627725.0
2024-12-31,208.9073,617284.0
2025-03-31,210.3207,621461.0
2025-06-30,210.1087,620834.0
2025-09-30,205.6563,607678.0
2025-12-31,201.84,596402.0
